,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
713,NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,6,22.0,27.0,24.0,7,yes
714,NISSAN Rogue,2.5,4,Auto-AV,4WD,Gasoline,SUV,6,21.0,26.0,23.0,7,yes
715,NISSAN Sentra,2.0,4,Man-6,2WD,Gasoline,midsize car,7,24.0,31.0,27.0,8,yes
716,NISSAN Sentra,2.0,4,Auto-AV,2WD,Gasoline,midsize car,7,25.0,33.0,28.0,8,yes
717,NISSAN Sentra,2.5,4,Man-6,2WD,Gasoline,midsize car,6,21.0,29.0,24.0,7,yes
718,NISSAN Sentra,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,24.0,30.0,26.0,8,yes
719,NISSAN Titan,5.6,8,Auto-L5,2WD,Gasoline,pickup,6,12.0,17.0,14.0,2,no
720,NISSAN Titan,5.6,8,Auto-L5,4WD,Gasoline,pickup,6,12.0,17.0,14.0,2,no
721,NISSAN Versa,1.8,4,Auto-L4,2WD,Gasoline,midsize car,7,24.0,32.0,27.0,8,yes
722,NISSAN Versa,1.8,4,Man-6,2WD,Gasoline,midsize car,7,26.0,31.0,28.0,8,yes
723,NISSAN Versa,1.8,4,Auto-AV,2WD,Gasoline,midsize car,7,27.0,33.0,29.0,8,yes
724,NISSAN Xterra,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,15.0,20.0,17.0,4,no
725,NISSAN Xterra,4.0,6,Man-6,2WD,Gasoline,SUV,7,16.0,20.0,17.0,4,no
726,NISSAN Xterra,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,14.0,20.0,16.0,4,no
727,NISSAN Xterra,4.0,6,Man-6,4WD,Gasoline,SUV,7,16.0,20.0,17.0,4,no
728,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8,yes
729,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8,yes
730,PONTIAC G5,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,26.0,8,yes
731,PONTIAC G5,2.2,4,Man-5,2WD,Gasoline,small car,6,24.0,33.0,27.0,8,yes
732,PONTIAC G5,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,25.0,7,yes
733,PONTIAC G5,2.4,4,Man-5,2WD,Gasoline,small car,6,22.0,32.0,26.0,8,yes
734,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,7,17.0,26.0,20.0,6,yes
735,PONTIAC G6,3.5,6,Auto-L4,2WD,Gasoline,small car,7,18.0,29.0,22.0,6,yes
736,PONTIAC G6,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22.0,30.0,25.0,7,yes
737,PONTIAC G6,3.5,6,Auto-S4,2WD,Gasoline,small car,6,17.0,26.0,20.0,6,no
738,PONTIAC G6,3.6,6,Auto-S6,2WD,Gasoline,small car,6,17.0,26.0,20.0,6,no
739,PONTIAC G6,3.9,6,Auto-S4,2WD,Gasoline,small car,6,15.0,22.0,18.0,5,no
740,PONTIAC G8,6.0,8,Auto-S6,2WD,Gasoline,large car,6,15.0,24.0,18.0,5,no
741,PONTIAC Grand Prix,3.8,6,Auto-L4,2WD,Gasoline,midsize car,9.5,18.0,28.0,21.0,6,yes
742,PONTIAC Grand Prix,5.3,8,Auto-S4,2WD,Gasoline,midsize car,6,16.0,25.0,19.0,5,no
743,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8,yes
744,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8,yes
745,PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,26.0,8,yes
746,PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,6,24.0,33.0,27.0,8,yes
747,PONTIAC Pursuit,2.4,4,Auto-L4,2WD,Gasoline,small car,6,22.0,31.0,25.0,7,yes
748,PONTIAC Pursuit,2.4,4,Man-5,2WD,Gasoline,small car,6,22.0,32.0,26.0,8,yes
749,PONTIAC Solstice,2.0,4,Auto-L5,2WD,Gasoline,small car,6,19.0,26.0,21.0,6,no
750,PONTIAC Solstice,2.0,4,Man-5,2WD,Gasoline,small car,6,19.0,28.0,22.0,6,no
751,PONTIAC Solstice,2.4,4,Auto-L5,2WD,Gasoline,small car,6,19.0,24.0,21.0,6,no
752,PONTIAC Solstice,2.4,4,Man-5,2WD,Gasoline,small car,6,19.0,25.0,21.0,6,no
753,PONTIAC Torrent,3.4,6,Auto-L5,2WD,Gasoline,SUV,7,17.0,24.0,19.0,5,no
754,PONTIAC Torrent,3.4,6,Auto-L5,4WD,Gasoline,SUV,7,17.0,24.0,19.0,5,no
755,PONTIAC Torrent,3.6,6,Auto-S6,2WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
756,PONTIAC Torrent,3.6,6,Auto-S6,4WD,Gasoline,SUV,6,16.0,24.0,19.0,5,no
757,PONTIAC Vibe,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7,25.0,31.0,27.0,8,yes
758,PONTIAC Vibe,1.8,4,Man-5,2WD,Gasoline,station wagon,7,26.0,33.0,29.0,8,yes
759,PORSCHE 911 GT2,3.6,6,Man-6,2WD,Gasoline,small car,6,16.0,23.0,19.0,5,no
760,PORSCHE 911 GT3,3.6,6,Man-6,2WD,Gasoline,small car,6,15.0,22.0,18.0,5,no
761,PORSCHE 911 GT3 RS,3.6,6,Man-6,2WD,Gasoline,small car,6,15.0,22.0,18.0,5,no
762,PORSCHE 911 Turbo,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15.0,23.0,18.0,5,no
763,PORSCHE 911 Turbo,3.6,6,Man-6,4WD,Gasoline,small car,6,16.0,23.0,18.0,5,no
764,PORSCHE 911 Turbo Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6,15.0,23.0,18.0,5,no
765,PORSCHE 911 Turbo Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6,15.0,24.0,18.0,5,no
