Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,BMW,BMX,BMW,230i Coupe,V635700,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,37.0,1,Not eqipped,HBMX91003240,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0049324,0.2337029,337.1654796,0.0051066,,0.0013344,,26.4,MPG,26.7075616,25.0330771,29.0473488,,2.0010320,1.2063800,0.7264370,40.600,0.12100,0.017430,25.000,-0.02900,0.017560,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V635700,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,37.0,1,Not eqipped,HBMX91003241,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0003896,0.0161873,192.9393758,0.0017963,,0.0003979,,46.1,MPG,,,,,3.0015430,2.7854680,0.2095180,40.600,0.12100,0.017430,25.000,-0.02900,0.017560,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V635700,1,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,36.5,1,Not eqipped,HBMX10043306,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0039800,0.1830000,329.2300000,0.0079000,,0.0008100,0.0004400,26.9,MPG,27.3000000,25.3000000,29.8000000,,-3.7120000,-2.2390000,-2.1110000,36.900,0.11100,0.017440,22.700,-0.06000,0.017930,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V635700,1,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,36.5,1,Not eqipped,HBMX10043308,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0001800,0.0165000,188.8800000,0.0029000,,0,,46.8,MPG,,,,,-3.0930000,-2.4240000,-0.3220000,36.900,0.11100,0.017440,22.700,-0.06000,0.017930,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,25.2,1,Not eqipped,HBMX91003239,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0252110,176.3822680,0.0020771,,0.0003707,,50.6,MPG,,,,,3.2929320,2.4194580,0.5356180,49.900,-0.20400,0.020220,18.500,0.23900,0.014530,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,25.2,1,Not eqipped,HBMX91003242,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0049414,0.2191188,279.6961564,0.0051986,,0.0017583,,31.8,MPG,30.8014175,31.4366453,33.3216495,,2.8484370,1.6135490,1.6329070,49.900,-0.20400,0.020220,18.500,0.23900,0.014530,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,1,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,25.2,1,Not eqipped,HBMX10043779,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0047400,0.2737000,298.2700000,0.0081000,,0.0020400,0.0008600,29.7,MPG,28.7000000,29.2000000,31.4000000,,0.3110000,0.0420000,-1.4750000,49.900,-0.20400,0.020220,18.500,0.23900,0.014530,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,2,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,24.8,1,Not eqipped,HBMX10043780,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0066500,0.4417000,277.7900000,0.0085000,,0.0020300,0.0009200,31.8,MPG,30.8000000,31.6000000,33.0000000,,-0.5020000,-0.4660000,-1.0720000,46.300,-0.21500,0.020230,15.000,0.21700,0.014640,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,2,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,24.8,1,Not eqipped,HBMX10043781,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0010600,0.0609000,174.5200000,0.0019000,,0.0006200,,50.5,MPG,,,,,2.1140000,1.4250000,-0.6110000,46.300,-0.21500,0.020230,15.000,0.21700,0.014640,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,3,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,24.8,1,Not eqipped,HBMX10043782,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0054200,0.3940000,294.2200000,0.0077000,,0.0022300,0.0010400,30.0,MPG,29.6000000,29.4000000,31.7000000,,0.0610000,-0.1900000,-1.1230000,46.300,-0.21500,0.020230,15.000,0.21700,0.014640,TWC,Three-way catalyst,N,,,N,No averaging
